size,time,path,cost
4,0.0014,"[0, 12, 15, 6, 8, 5, 14, 4, 3, 10, 13, 11, 7, 2, 9, 1, 0]",4675.6438
4,0.001,"[0, 5, 4, 8, 9, 6, 1, 13, 15, 3, 10, 12, 11, 7, 2, 14, 0]",3827.5201
4,0.0009,"[0, 12, 2, 7, 9, 11, 8, 15, 5, 10, 4, 1, 14, 3, 6, 13, 0]",4039.8952
4,0.0012,"[0, 15, 1, 13, 10, 11, 2, 7, 3, 9, 8, 14, 12, 4, 6, 5, 0]",4882.0255
4,0.001,"[0, 5, 7, 2, 9, 14, 11, 3, 12, 10, 8, 4, 6, 13, 15, 1, 0]",3127.1631
4,0.0009,"[0, 14, 1, 8, 4, 5, 2, 3, 11, 15, 10, 12, 9, 6, 7, 13, 0]",4966.11
4,0.001,"[0, 3, 5, 15, 1, 2, 6, 9, 14, 4, 7, 13, 12, 10, 11, 8, 0]",3523.6931
4,0.0012,"[0, 14, 5, 9, 3, 12, 1, 4, 7, 13, 6, 2, 15, 10, 11, 8, 0]",4886.3323
4,0.001,"[0, 9, 6, 14, 1, 12, 11, 8, 4, 2, 3, 5, 7, 10, 13, 15, 0]",4615.4624
4,0.001,"[0, 4, 9, 3, 2, 11, 1, 10, 13, 14, 7, 12, 5, 15, 8, 6, 0]",4161.0908
4,0.0009,"[0, 15, 10, 2, 4, 1, 6, 14, 5, 7, 3, 12, 11, 13, 9, 8, 0]",3712.3448
4,0.001,"[0, 6, 5, 8, 9, 4, 3, 7, 1, 15, 14, 10, 13, 12, 11, 2, 0]",4395.1304
4,0.0012,"[0, 7, 15, 14, 12, 10, 13, 4, 5, 6, 8, 1, 3, 9, 2, 11, 0]",4348.589
4,0.0011,"[0, 1, 6, 2, 10, 9, 7, 5, 8, 13, 4, 3, 14, 12, 11, 15, 0]",3915.4418
4,0.0009,"[0, 6, 1, 4, 14, 13, 3, 11, 15, 12, 2, 8, 9, 5, 7, 10, 0]",4068.7884
4,0.0009,"[0, 5, 4, 2, 7, 6, 10, 14, 9, 11, 13, 8, 3, 12, 15, 1, 0]",3473.2948
4,0.001,"[0, 13, 12, 3, 8, 2, 6, 5, 10, 1, 15, 4, 9, 14, 11, 7, 0]",3367.2556
4,0.0009,"[0, 12, 6, 2, 9, 3, 4, 13, 5, 14, 1, 10, 15, 8, 11, 7, 0]",4395.849
4,0.0009,"[0, 10, 3, 11, 13, 12, 2, 15, 9, 1, 6, 8, 14, 5, 4, 7, 0]",3693.8202
4,0.0009,"[0, 2, 12, 4, 11, 15, 1, 3, 13, 10, 14, 6, 5, 9, 7, 8, 0]",4394.5534
4,0.001,"[0, 10, 1, 8, 9, 13, 3, 4, 15, 12, 7, 6, 5, 14, 2, 11, 0]",4431.9954
4,0.0009,"[0, 6, 14, 1, 11, 10, 12, 15, 9, 8, 2, 7, 3, 4, 5, 13, 0]",3805.6491
4,0.0009,"[0, 3, 4, 9, 2, 6, 14, 5, 12, 13, 11, 1, 8, 7, 10, 15, 0]",3412.3921
4,0.001,"[0, 4, 3, 8, 1, 7, 14, 11, 15, 9, 10, 2, 5, 13, 12, 6, 0]",3602.6694
4,0.001,"[0, 9, 8, 15, 13, 2, 3, 5, 11, 10, 14, 7, 1, 4, 6, 12, 0]",4449.3862
4,0.0009,"[0, 4, 11, 12, 7, 2, 14, 6, 8, 15, 1, 13, 10, 5, 3, 9, 0]",4556.225
4,0.0009,"[0, 9, 1, 13, 3, 8, 11, 2, 10, 6, 5, 12, 4, 7, 15, 14, 0]",4352.8023
4,0.0009,"[0, 7, 1, 13, 6, 3, 12, 5, 9, 11, 10, 14, 8, 15, 4, 2, 0]",4335.9843
4,0.001,"[0, 7, 13, 2, 8, 11, 6, 12, 4, 1, 5, 15, 3, 14, 10, 9, 0]",4038.4362
4,0.0009,"[0, 8, 3, 14, 11, 5, 13, 7, 6, 10, 2, 9, 15, 4, 12, 1, 0]",4117.1205
